#Frame	ca
1	6
2	6
3	5
4	5
5	6
6	5
7	6
8	7
9	5
10	4
11	6
12	5
13	5
14	6
15	7
16	6
17	5
18	6
19	5
20	5
21	6
22	6
23	6
24	7
25	5
26	7
27	7
28	8
29	6
30	7
31	9
32	5
33	9
34	7
35	8
36	7
37	8
38	7
39	8
40	7
41	6
42	9
43	8
44	5
45	5
46	6
47	9
48	4
49	5
50	6
51	6
52	6
53	7
54	8
55	8
56	7
57	9
58	9
59	9
60	7
61	7
62	6
63	6
64	5
65	3
66	6
67	7
68	5
69	6
70	7
71	8
72	6
73	7
74	6
75	7
76	2
77	5
78	6
79	7
80	6
81	6
82	6
83	7
84	6
85	6
86	3
87	5
88	6
89	4
90	5
91	5
92	6
93	4
94	7
95	5
96	6
97	8
98	5
99	8
100	6
101	8
102	6
103	7
104	7
105	8
106	6
107	6
108	6
109	6
110	7
111	4
112	5
113	5
114	6
115	6
116	5
117	6
118	6
119	6
120	5
121	7
122	5
123	5
124	5
125	5
126	4
127	5
128	6
129	5
130	5
131	6
132	7
133	8
134	7
135	6
136	7
137	4
138	5
139	5
140	7
141	7
142	6
143	6
144	7
145	6
146	6
147	7
148	7
149	7
150	7
151	8
152	7
153	8
154	7
155	6
156	4
157	6
158	5
159	6
160	5
161	5
162	4
163	6
164	7
165	5
166	7
167	5
168	6
169	4
170	6
171	5
172	6
173	5
174	6
175	6
176	6
177	6
178	6
179	7
180	5
181	5
182	7
183	6
184	4
185	5
186	5
187	5
188	6
189	7
190	7
191	6
192	8
193	4
194	5
195	7
196	7
197	6
198	6
199	6
200	4
201	5
202	5
203	5
204	5
205	6
206	5
207	5
208	6
209	7
210	6
211	6
212	6
213	8
214	7
215	7
216	7
217	5
218	6
219	5
220	6
221	5
222	8
223	6
224	7
225	6
226	7
227	7
228	6
229	7
230	7
231	6
232	6
233	7
234	6
235	7
236	7
237	6
238	5
239	5
240	6
241	6
242	5
243	6
244	6
245	5
246	6
247	6
248	7
249	5
250	8
251	9
252	4
253	7
254	6
255	7
256	6
257	5
258	6
259	5
260	6
261	4
262	7
263	5
264	7
265	7
266	6
267	5
268	6
269	7
270	5
271	7
272	7
273	6
274	5
275	6
276	6
277	6
278	7
279	5
280	6
281	4
282	6
283	4
284	7
285	6
286	5
287	6
288	7
289	5
290	6
291	7
292	6
293	7
294	4
295	6
296	7
297	7
298	6
299	5
300	4
301	8
302	7
303	7
304	4
305	8
306	6
307	7
308	7
309	6
310	6
311	7
312	4
313	6
314	7
315	5
316	6
317	7
318	6
319	8
320	3
321	5
322	7
323	6
324	4
325	5
326	6
327	7
328	6
329	7
330	6
331	5
332	6
333	5
334	5
335	6
336	5
337	7
338	6
339	4
340	5
341	7
342	6
343	6
344	6
345	5
346	7
347	7
348	6
349	7
350	6
351	3
352	5
353	5
354	3
355	5
356	4
357	4
358	5
359	4
360	4
361	4
362	5
363	4
364	5
365	5
366	6
367	5
368	4
369	5
370	5
371	5
372	5
373	4
374	5
375	5
376	4
377	4
378	3
379	4
380	6
381	6
382	5
383	7
384	4
385	3
386	2
387	6
388	4
389	5
390	6
391	5
392	3
393	4
394	5
395	5
396	5
397	5
398	5
399	4
400	5
401	4
402	5
403	5
404	6
405	6
406	5
407	6
408	5
409	7
410	6
411	6
412	5
413	6
414	6
415	5
416	7
417	5
418	7
419	6
420	6
421	6
422	7
423	6
424	7
425	4
426	5
427	8
428	5
429	6
430	6
431	4
432	4
433	5
434	4
435	8
436	4
437	5
438	4
439	5
440	5
441	5
442	5
443	5
444	4
445	5
446	4
447	5
448	5
449	4
450	4
451	5
452	4
453	4
454	6
455	5
456	5
457	5
458	4
459	3
460	4
461	5
462	5
463	6
464	6
465	6
466	7
467	6
468	5
469	4
470	6
471	4
472	4
473	5
474	5
475	6
476	5
477	5
478	6
479	5
480	5
481	6
482	4
483	7
484	6
485	6
486	6
487	7
488	8
489	8
490	7
491	6
492	8
493	6
494	7
495	5
496	5
497	4
498	5
499	6
500	4
501	5
502	5
503	6
504	4
505	4
506	6
507	5
508	4
509	6
510	5
511	3
512	6
513	4
514	6
515	3
516	6
517	5
518	3
519	4
520	7
521	5
522	4
523	4
524	4
