#Frame	TRD
1	4
2	4
3	4
4	4
5	5
6	6
7	4
8	3
9	6
10	5
11	6
12	6
13	5
14	2
15	3
16	3
17	5
18	4
19	5
20	5
21	5
22	3
23	3
24	4
25	4
26	4
27	4
28	2
29	4
30	4
31	3
32	3
33	3
34	3
35	3
36	3
37	1
38	2
39	3
40	3
41	3
42	4
43	3
44	3
45	4
46	4
47	2
48	4
49	2
50	2
51	3
52	3
53	4
54	3
55	3
56	3
57	3
58	3
59	4
60	3
61	3
62	3
63	3
64	3
65	3
66	3
67	3
68	3
69	4
70	2
71	2
72	4
73	3
74	2
75	3
76	3
77	4
78	4
79	4
80	4
81	3
82	4
83	3
84	4
85	4
86	4
87	4
88	3
89	5
90	5
91	4
92	3
93	3
94	2
95	3
96	1
97	1
98	0
99	1
100	3
101	3
102	1
103	1
104	1
105	3
106	3
107	2
108	4
109	2
110	3
111	2
112	2
113	2
114	2
115	4
116	3
117	1
118	3
119	2
120	1
121	2
122	1
123	3
124	2
125	1
126	0
127	0
128	0
129	0
130	1
131	0
132	0
133	1
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	1
146	0
147	1
148	0
149	0
150	0
151	0
152	0
153	1
154	0
155	0
156	0
157	1
158	0
159	1
160	0
161	0
162	0
163	0
164	0
165	2
166	1
167	1
168	1
169	1
170	1
171	1
172	0
173	0
174	0
175	0
176	2
177	2
178	3
179	3
180	1
181	2
182	3
183	2
184	2
185	3
186	2
187	3
188	2
189	2
190	3
191	3
192	2
193	3
194	2
195	2
196	2
197	1
198	2
199	2
200	2
201	2
202	2
203	2
204	2
205	1
206	3
207	2
208	2
209	2
210	3
211	1
212	1
213	2
214	1
215	2
216	1
217	2
218	1
219	1
220	1
221	2
222	2
223	1
224	1
225	2
226	2
227	4
228	2
229	3
230	3
231	3
232	2
233	1
234	1
235	0
236	1
237	3
238	1
239	1
240	2
241	2
242	1
243	0
244	1
245	1
246	1
247	2
248	0
249	0
250	1
251	1
252	2
253	2
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	1
269	0
270	0
271	0
272	0
273	2
274	1
275	1
276	1
277	1
278	1
279	0
280	0
281	1
282	1
283	1
284	0
285	1
286	1
287	0
288	0
289	1
290	2
291	0
292	0
293	0
294	0
295	0
296	0
297	1
298	0
299	0
300	1
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	1
314	1
315	0
316	1
317	1
318	1
319	1
320	0
321	0
322	0
323	0
324	1
325	0
326	0
327	0
328	0
329	0
330	0
331	1
332	0
333	0
334	0
335	0
336	1
337	1
338	1
339	0
340	1
341	1
342	0
343	0
344	0
345	1
346	0
347	1
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
