#Frame      Mode1    Mode2
       1   -6.767   -8.244
       2   -6.638   -8.017
       3   -7.041   -7.670
       4   -7.573   -8.152
       5   -7.181   -7.998
       6   -6.404   -8.572
       7   -5.014   -8.764
       8   -6.803   -8.482
       9   -5.319   -7.789
      10   -5.916   -8.060
      11   -6.803   -7.181
      12   -5.770   -5.295
      13   -7.194   -4.797
      14   -6.582   -3.750
      15   -8.653   -4.846
      16   -8.005   -4.371
      17   -8.656   -4.907
      18   -7.742   -4.897
      19   -8.988   -3.573
      20   -9.577   -4.007
      21  -10.883   -4.420
      22   -9.876   -3.901
      23  -10.915   -3.381
      24  -10.912   -3.464
      25  -10.299   -4.302
      26  -11.164   -2.914
      27   -9.923   -3.409
      28  -10.251   -2.997
      29  -10.360   -3.079
      30   -9.819   -3.116
      31  -11.921   -2.952
      32  -10.728   -3.680
      33   -9.675   -2.042
      34  -11.071   -3.276
      35   -9.674   -4.716
      36  -10.252   -5.136
      37  -10.097   -4.038
      38  -10.951   -4.562
      39  -11.085   -5.116
      40  -12.037   -4.772
      41  -11.487   -3.893
      42  -12.086   -3.511
      43  -12.642   -4.062
      44  -12.610   -3.544
      45  -12.781   -3.340
      46  -10.806   -3.353
      47  -10.458   -3.007
      48  -11.798   -3.454
      49  -10.889   -3.646
      50  -11.303   -3.182
      51  -10.166   -3.823
      52  -11.281   -3.956
      53   -9.621   -3.872
      54   -8.118   -2.495
      55   -9.921   -2.161
      56  -11.055   -3.317
      57   -9.964   -2.140
      58  -10.506   -2.034
      59  -11.216   -3.487
      60  -12.498   -3.719
      61  -10.775   -3.590
      62  -10.439   -4.023
      63   -9.897   -4.576
      64  -11.200   -4.361
      65  -10.217   -4.537
      66  -10.561   -5.258
      67   -9.821   -4.985
      68  -10.516   -4.523
      69  -10.324   -5.481
      70   -9.178   -4.084
      71   -9.960   -5.144
      72  -10.557   -5.234
      73   -9.898   -3.815
      74  -10.737   -5.500
      75  -10.776   -5.477
      76  -10.322   -3.935
      77  -11.094   -3.260
      78  -10.985   -3.273
      79  -10.343   -4.126
      80  -10.483   -4.333
      81  -11.086   -4.771
      82  -10.173   -4.253
      83   -9.546   -4.381
      84   -9.488   -4.938
      85   -8.901   -4.772
      86   -8.451   -5.398
      87   -9.218   -6.181
      88   -9.889   -4.232
      89   -9.826   -6.126
      90   -9.759   -6.112
      91   -8.641   -5.926
      92   -8.889   -4.520
      93   -8.941   -5.128
      94   -9.040   -4.896
      95   -9.111   -5.662
      96   -9.325   -4.648
      97   -9.503   -5.509
      98   -9.846   -5.453
      99  -10.048   -5.576
     100   -9.438   -5.941
     101  -10.152   -5.570
     102   -9.159   -5.828
     103  -10.363   -5.924
     104  -10.067   -5.210
     105  -10.438   -5.505
     106  -10.574   -4.735
     107  -10.979   -5.515
     108  -10.234   -5.116
     109  -11.052   -3.925
     110  -10.352   -4.306
     111  -10.416   -3.580
     112   -9.956   -4.965
     113  -10.440   -4.971
     114  -10.226   -3.812
     115  -11.497   -3.136
     116  -11.494   -4.578
     117  -10.479   -3.134
     118  -11.222   -2.676
     119  -10.615   -3.828
     120  -11.458   -3.124
     121  -11.436   -4.511
     122  -11.016   -4.052
     123  -10.583   -3.109
     124  -10.680   -2.005
     125  -10.571   -3.220
     126  -11.488   -4.314
     127  -11.422   -3.888
     128  -11.661   -3.092
     129   -9.640   -2.869
     130  -11.003   -3.405
     131  -11.748   -3.501
     132  -11.728   -2.606
     133  -12.228   -3.221
     134  -12.072   -3.504
     135  -12.118   -3.775
     136  -11.870   -4.058
     137  -12.842   -3.633
     138  -12.647   -4.218
     139  -11.905   -4.739
     140  -11.579   -3.651
     141  -11.421   -3.745
     142  -11.368   -4.792
     143  -11.592   -4.017
     144  -12.463   -4.814
     145  -12.422   -5.091
     146  -11.936   -4.839
     147  -11.757   -4.353
     148  -11.508   -4.567
     149  -11.419   -4.848
     150  -12.117   -5.072
     151  -12.296   -5.068
     152  -11.890   -5.669
     153  -12.000   -4.535
     154  -11.605   -4.939
     155  -13.269   -4.346
     156  -13.182   -4.058
     157  -13.028   -4.137
     158  -12.772   -4.002
     159  -12.251   -3.987
     160  -12.642   -3.524
     161  -12.034   -3.413
     162  -12.653   -4.586
     163  -10.384   -3.636
     164   -9.943   -3.517
     165  -10.577   -4.513
     166   -9.563   -3.444
     167   -9.289   -2.771
     168   -9.930   -1.963
     169   -9.655   -4.240
     170  -10.939   -3.556
     171  -10.268   -4.807
     172  -10.067   -3.869
     173  -10.406   -4.883
     174  -10.826   -5.008
     175  -10.356   -4.136
     176  -11.629   -4.204
     177  -11.114   -4.502
     178  -10.885   -5.553
     179  -11.567   -5.001
     180  -10.686   -4.656
     181  -11.518   -6.500
     182  -11.103   -5.504
     183  -10.194   -5.267
     184  -10.183   -6.073
     185  -10.291   -6.246
     186  -10.660   -6.276
     187  -11.094   -4.380
     188  -11.609   -5.009
     189  -10.884   -4.436
     190  -10.400   -4.219
     191  -11.283   -4.341
     192  -11.254   -4.857
     193  -11.251   -5.124
     194  -12.021   -4.799
     195  -12.225   -4.868
     196  -11.429   -5.281
     197  -11.553   -4.848
     198  -10.394   -5.573
     199  -10.773   -5.192
     200  -10.454   -5.263
     201   -9.832   -4.516
     202  -11.050   -5.194
     203  -10.784   -4.713
     204  -10.903   -4.692
     205  -10.079   -5.555
     206   -8.926   -5.863
     207  -10.748   -5.273
     208  -12.588   -4.948
     209  -11.019   -5.798
     210  -11.361   -5.194
     211  -11.637   -4.930
     212  -11.182   -5.541
     213  -11.616   -4.848
     214  -10.164   -4.888
     215  -11.407   -4.944
     216  -11.301   -4.484
     217  -10.566   -4.298
     218  -11.507   -3.263
     219  -11.400   -5.466
     220  -12.574   -5.535
     221  -11.740   -4.313
     222  -12.296   -4.934
     223  -12.847   -4.525
     224  -13.279   -4.029
     225  -13.203   -3.476
     226  -13.478   -4.418
     227  -14.735   -4.516
     228  -14.737   -4.507
     229  -13.841   -4.506
     230  -14.587   -3.799
     231  -14.208   -3.647
     232  -13.944   -3.221
     233  -13.215   -2.319
     234  -13.872   -3.130
     235  -13.849   -3.315
     236  -14.069   -4.453
     237  -12.829   -3.992
     238  -12.541   -2.921
     239  -13.554   -3.662
     240  -13.725   -3.077
     241  -13.452   -2.502
     242  -13.742   -2.561
     243  -14.298   -2.388
     244  -13.862   -2.588
     245  -13.455   -2.407
     246  -13.847   -1.927
     247  -13.942   -2.656
     248  -14.151   -3.022
     249  -13.855   -3.521
     250  -12.981   -3.424
     251  -13.368   -2.092
     252  -11.934   -2.501
     253  -10.946   -3.187
     254  -11.935   -3.096
     255  -12.442   -4.195
     256  -12.185   -3.762
     257  -12.044   -2.596
     258  -11.492   -2.941
     259  -11.979   -3.037
     260  -12.731   -2.709
     261  -11.317   -1.642
     262  -11.924   -2.370
     263  -11.083   -2.364
     264  -10.954   -1.535
     265  -10.470   -2.128
     266  -10.858   -2.173
     267  -10.829   -1.867
     268  -11.683   -2.212
     269  -11.435   -1.579
     270  -10.378   -1.960
     271  -11.232   -2.340
     272  -11.052   -1.142
     273  -12.645   -1.848
     274  -12.517   -2.962
     275  -12.613   -2.046
     276  -10.723   -2.482
     277  -12.096   -2.096
     278  -12.760   -2.221
     279  -13.419   -1.735
     280  -13.212   -2.783
     281  -13.852   -3.110
     282  -13.872   -2.554
     283  -13.071   -2.018
     284  -12.171   -3.223
     285  -11.565   -3.009
