#Frame	RMSD_00002
1	0
2	1.0394
3	1.247
4	1.3128
5	1.3413
6	1.4366
7	1.4973
8	1.6073
9	1.8769
10	1.8867
11	1.926
12	2.1239
13	1.9491
14	2.0023
15	2.047
16	2.1389
17	2.2495
18	2.3538
19	2.4581
20	2.3565
21	2.4964
22	2.4154
23	2.5464
24	2.4437
25	2.438
26	2.4728
27	2.5035
28	2.5477
29	2.3658
30	2.5212
31	2.5869
32	2.7221
33	2.7588
34	2.6829
35	2.7203
36	2.5637
37	2.422
38	2.4242
39	2.5139
40	2.5039
41	2.5314
42	2.5934
43	2.5852
44	2.439
45	2.5269
46	2.3661
47	2.3356
48	2.2201
49	2.0447
50	2.1612
51	2.2867
52	2.204
53	2.2136
54	2.1781
55	2.2447
56	2.2355
57	2.3423
58	2.3816
59	2.4869
60	2.3923
61	2.4712
62	2.4602
63	2.5604
64	2.6553
65	2.6
66	2.4297
67	2.4635
68	2.5949
69	2.525
70	2.4558
71	2.3932
72	2.3579
73	2.5217
74	2.4454
75	2.5496
76	2.5815
77	2.6002
78	2.518
79	2.4595
80	2.36
81	2.3409
82	2.3958
83	2.4825
84	2.5164
85	2.5266
86	2.6617
87	2.66
88	2.5208
89	2.5214
90	2.593
91	2.6104
92	2.6486
93	2.5865
94	2.4272
95	2.393
96	2.3635
97	2.4495
98	2.4083
99	2.4871
100	2.5362
101	2.5434
102	2.7395
103	2.8465
104	2.9065
105	2.8631
106	2.9236
107	2.8988
108	2.7408
109	2.8336
110	2.7309
111	2.7661
112	2.7601
113	2.8596
114	2.8136
115	2.8142
116	2.7994
117	2.8049
118	2.7039
119	2.6761
120	2.5764
121	2.7952
122	2.7959
123	2.6737
124	2.6902
125	2.7112
126	2.6682
127	2.7312
128	2.8137
129	2.725
130	2.7826
131	2.7381
132	2.8933
133	2.9409
134	2.9239
135	2.8697
136	2.7432
137	2.7143
138	2.8218
139	2.7799
140	2.6632
141	2.7532
142	2.7588
143	2.8917
144	2.7771
145	2.9766
146	2.8985
147	2.8197
148	2.8546
149	2.8021
150	2.8474
151	2.7755
152	2.6429
153	2.8625
154	2.7354
155	2.8202
156	2.9074
157	2.7484
158	2.7969
159	2.8305
160	2.7377
161	2.8526
162	2.8207
163	2.8118
164	2.8065
165	2.7659
166	2.7337
167	2.9683
168	2.9294
169	2.8105
170	2.8416
171	2.8626
172	2.9946
173	2.8588
174	2.8034
175	2.7813
176	2.8629
177	2.9112
178	2.8939
179	2.8119
180	2.866
181	2.9054
182	3.0194
183	3.0082
184	2.8899
185	2.9994
186	2.9553
187	2.8861
188	2.902
189	2.9782
190	2.9946
191	2.993
192	2.9618
193	2.9541
194	2.9775
195	2.9597
196	2.871
197	2.9225
198	2.923
199	2.9457
200	2.9795
201	2.9717
202	2.8712
203	2.9223
204	2.9239
205	2.9844
206	2.9583
207	3.0151
208	3.0084
209	3.0732
210	3.0711
211	3.1121
212	3.0843
213	3.0245
214	3.2265
215	3.1059
216	2.9682
217	2.9029
218	2.9714
219	2.8931
220	3.0124
221	2.9323
222	2.8642
223	2.8756
224	2.9496
225	3.0096
226	3.0229
227	2.9487
228	2.9791
229	3.0056
230	2.8964
231	3.0398
232	2.9708
233	3.0024
234	2.9067
235	2.9402
236	2.9855
237	2.8819
238	2.7786
239	2.7079
240	2.7669
241	2.7461
242	2.7785
243	2.7839
244	2.7808
245	2.9344
246	2.7888
247	2.7763
248	2.8136
249	2.854
250	2.7725
251	2.5932
252	2.788
253	2.6806
254	2.5881
255	2.6677
256	2.6527
257	2.6618
258	2.6304
259	2.6893
260	2.699
261	2.7739
262	2.7305
263	2.6409
264	2.6697
265	2.6246
266	2.6045
267	2.4683
268	2.5331
269	2.5443
270	2.4998
271	2.6473
272	2.5688
273	2.6373
274	2.4268
275	2.5455
276	2.5804
277	2.7497
278	2.7037
279	2.5973
280	2.8466
281	2.9382
282	3.0376
283	2.9528
284	2.9394
285	3.0159
286	2.9881
287	2.8293
288	2.7294
289	2.7783
290	2.8594
291	2.8494
292	2.9234
293	2.9776
294	2.9825
295	2.9823
296	3.0713
297	2.9206
298	2.9393
299	3.1587
300	3.0377
301	2.9347
302	2.8846
303	2.7289
304	2.7355
305	2.8848
306	2.6445
307	2.7176
308	2.727
309	2.8943
310	2.836
311	2.851
312	2.7503
313	2.7493
314	2.7681
315	2.8017
316	2.6757
317	2.7161
318	2.7776
319	2.8203
320	2.8745
321	2.8879
322	2.8829
323	3.1001
324	2.96
325	3.0214
326	3.0287
327	3.0761
328	2.924
329	2.9299
330	2.8597
