#Frame      Mode1    Mode2
       1   -9.897   -1.643
       2   -9.255   -1.851
       3  -10.472   -2.238
       4   -9.407   -0.882
       5   -9.372   -0.711
       6   -8.652   -0.391
       7   -8.022    0.041
       8   -9.047   -0.386
       9   -8.071   -0.670
      10   -8.326   -0.467
      11   -7.030    1.085
      12   -7.917   -0.093
      13   -6.926   -0.751
      14   -8.507   -0.708
      15   -8.153   -0.556
      16   -8.794   -0.529
      17   -9.397   -1.446
      18   -9.371   -1.381
      19   -9.163   -0.479
      20   -9.792   -1.444
      21   -9.531   -1.586
      22   -9.602   -1.470
      23   -8.948   -1.887
      24   -9.290   -1.235
      25   -9.887   -1.378
      26   -8.740   -1.709
      27   -8.652   -0.632
      28   -8.895   -1.069
      29   -9.381   -0.975
      30   -8.820   -1.223
      31   -9.574   -1.879
      32   -9.978   -0.229
      33   -9.082   -0.857
      34   -8.943   -1.777
      35   -9.648   -1.652
      36  -10.571   -2.384
      37   -8.424   -2.079
      38   -7.481   -0.291
      39   -9.159   -2.359
      40   -9.297   -2.344
      41   -9.007   -2.089
      42  -10.325   -2.630
      43  -11.625   -2.791
      44  -10.670   -2.348
      45  -10.082   -2.326
      46  -11.575   -1.988
      47  -10.524   -1.115
      48   -9.924    0.005
      49  -10.381   -0.178
      50  -10.885   -0.552
      51  -11.265   -0.661
      52  -11.513   -2.269
      53  -10.534   -2.510
      54  -10.825   -3.626
      55  -11.372   -2.816
      56  -11.624   -2.839
      57  -11.232   -3.122
      58  -11.516   -3.579
      59  -11.410   -2.596
      60  -11.607   -1.870
      61  -11.019   -3.050
      62  -10.593   -2.270
      63  -11.787   -3.634
      64   -9.924   -3.124
      65  -10.337   -3.650
      66  -10.036   -3.261
      67   -9.625   -3.087
      68   -9.062   -2.284
      69  -10.566   -2.266
      70  -10.447   -3.038
      71  -10.329   -3.138
      72  -10.336   -1.410
      73   -9.681   -1.761
      74   -9.867   -0.569
      75   -8.734   -1.984
      76  -10.316   -1.536
      77   -9.704   -1.076
      78   -9.946   -2.559
      79  -10.014   -2.797
      80   -9.576   -1.763
      81   -9.236   -2.060
      82   -9.995   -2.186
      83   -9.638   -2.593
      84   -9.830   -1.678
      85   -9.747   -2.025
      86  -10.291   -2.428
      87   -9.775   -1.328
      88   -9.088   -2.351
      89   -9.851   -3.085
      90  -10.699   -1.914
      91   -9.790   -2.701
      92  -10.657   -1.945
      93  -10.906   -2.704
      94  -10.398   -2.837
      95  -10.791   -3.481
      96  -11.011   -1.819
      97  -10.522   -2.603
      98   -9.817   -3.411
      99  -10.294   -1.888
     100  -11.101   -2.644
     101  -10.639   -3.089
     102  -10.879   -2.326
     103  -11.212   -1.657
     104  -10.273   -2.467
     105  -11.220   -1.974
     106  -11.453   -2.705
     107  -11.050   -2.815
     108  -11.286   -1.405
     109  -10.956   -1.366
     110  -10.754   -0.120
     111  -10.510   -0.473
     112  -10.650   -0.775
     113  -11.527   -1.245
     114  -10.680   -1.112
     115  -10.285   -0.404
     116   -9.837    0.098
     117  -10.144    0.250
     118  -10.280   -0.776
     119  -10.812   -1.210
     120  -10.932   -0.771
     121  -10.394    0.943
     122  -10.661   -0.611
     123  -11.029   -0.881
     124  -10.913   -1.480
     125   -9.805   -0.793
     126  -11.054   -1.087
     127  -10.490   -1.184
     128  -10.868   -1.116
     129  -10.936   -0.816
     130  -10.953   -0.622
     131  -11.103   -1.002
     132  -10.372   -1.846
     133  -10.590   -0.037
     134  -10.225    0.146
     135  -11.163   -1.092
     136  -10.000   -1.107
     137  -10.200   -1.030
     138  -10.950   -1.404
     139  -10.534   -2.785
     140  -10.766   -2.120
     141  -10.590   -1.265
     142  -10.282   -1.809
     143   -9.897   -1.471
     144   -9.869   -0.049
     145  -10.565   -0.900
     146  -10.227   -1.071
     147  -10.057   -1.395
     148  -10.557   -1.293
     149  -10.358   -1.414
     150   -9.813   -1.852
