#Coor Free
13.450000 0.000000
13.950000 0.046075
14.450000 0.095529
14.950000 0.166104
15.450000 0.126372
15.950000 0.262289
16.450000 0.444220
16.950000 0.610759
17.450000 0.920050
17.950000 0.979083
18.450000 1.056717
18.950000 1.061603
19.450000 1.308038
19.950000 1.498449
20.450000 1.738513
20.950000 1.787659
21.450000 2.054495
21.950000 2.402448
22.450000 2.696238
22.950000 2.822524
23.450000 3.088564
23.950000 3.351720
24.450000 3.504510
24.950000 3.991887
25.450000 4.068357
25.950000 4.440937
26.450000 4.561853
26.950000 4.772745
27.450000 4.810991
27.950000 4.812347
28.450000 4.911586
28.950000 4.883889
29.450000 5.244398
29.950000 5.620294
30.450000 5.935683
30.950000 6.162118
31.450000 6.739086
31.950000 7.165232
32.450000 7.653897
#Window Free
#0 0.000000
#1 -0.389745
#2 -0.342049
#3 -0.282567
#4 -0.266431
#5 -0.221880
#6 -0.066011
#7 0.109343
#8 0.333188
#9 0.536497
#10 0.604297
#11 0.646818
#12 0.759812
#13 0.983320
#14 1.194115
#15 1.350241
#16 1.493902
#17 1.791048
#18 2.119050
#19 2.343698
#20 2.528457
#21 2.793370
#22 3.010885
#23 3.287285
#24 3.616557
#25 3.813605
#26 4.085991
#27 4.245664
#28 4.379223
#29 4.399331
#30 4.447562
#31 4.485239
#32 4.624904
#33 4.990799
#34 5.344990
#35 5.625854
#36 5.970896
#37 6.502451
#38 6.948400
#39 7.653896
