#Coor Free
13.450000 0.000000
13.950000 0.007832
14.450000 0.016783
14.950000 0.022303
15.450000 0.058602
15.950000 0.223405
16.450000 0.125618
16.950000 0.186843
17.450000 0.289553
17.950000 0.328968
18.450000 0.321648
18.950000 0.410008
19.450000 0.426364
19.950000 0.538933
20.450000 0.618270
20.950000 0.643851
21.450000 0.673426
21.950000 0.636034
22.450000 0.691176
22.950000 0.760561
23.450000 0.791260
23.950000 0.896645
24.450000 1.084465
24.950000 1.162870
25.450000 1.218440
25.950000 1.387144
26.450000 1.565860
26.950000 1.680252
27.450000 1.901046
27.950000 2.066126
28.450000 2.133587
28.950000 2.215357
29.450000 2.219986
29.950000 2.152088
30.450000 2.227192
30.950000 2.278285
31.450000 2.364844
31.950000 2.378505
32.450000 2.453733
#Window Free
#0 0.000000
#1 -0.408434
#2 -0.400047
#3 -0.392801
#4 -0.372162
#5 -0.277023
#6 -0.239833
#7 -0.256894
#8 -0.176353
#9 -0.103403
#10 -0.087040
#11 -0.048148
#12 0.005793
#13 0.067652
#14 0.164942
#15 0.218585
#16 0.246117
#17 0.242099
#18 0.250629
#19 0.312520
#20 0.363375
#21 0.429284
#22 0.570835
#23 0.710039
#24 0.777669
#25 0.884494
#26 1.057478
#27 1.207973
#28 1.368126
#29 1.565540
#30 1.686563
#31 1.760730
#32 1.805330
#33 1.772732
#34 1.776118
#35 1.839853
#36 1.907654
#37 1.959298
#38 2.002594
#39 2.453733
